id,value,size
Ravens,20,2000
Browns,22,2200
Steelers,21,2100
Bengals,13,1300
Colts,20,2000
Jaguars,4,400
Texans,8,800
Titans,20,2000
Dolphine,27,2700
Bills,14,1400
Patriots,4,400
Jets,28,2800
Chiefs,16,1600
Raiders,18,1800
Broncos,14,1400
Chargers,10,1000
Bears,26,2600
Packers,10,1000
Lions,14,1400
Vikings,8,800
Falcons,20,2000
Buccaneers,10,1000
Panthers,25,2500
Saints,12,1200
Cowboys,13,1300
Giants,8,800
Eagles,14,1400
Football Team,19,1900
Rams,14,1400
49ers,24,2400
Seahawks,18,1800
Cardinals,10,1000
